The Catcher in the Rye; J.D. Salinger; 978-0-316-76947-3; Little, Brown and Company; 07/16/1951; 277; In Stock; Rye
To Kill a Mockingbird; Harper Lee; 978-0-06-112008-4; Harper Perennial Modern Classics; 05/23/2006; 336; In Stock; Mockingbird
1984; George Orwell; 978-0-452-28423-4; Signet Classic; 07/01/1950; 328; Out of Stock; 1984
Pride and Prejudice; Jane Austen; 978-1-59308-325-8; Barnes & Noble Classics; 01/30/2003; 352; In Stock; Prejudice
Harry Potter and the Sorcerer's Stone; J.K. Rowling; 978-0-545-01022-1; Scholastic Inc.; 06/26/1997; 320; In Stock; Sorcerer
The Great Gatsby; F. Scott Fitzgerald; 978-0-7432-7356-5; Scribner; 09/30/2004; 180; In Stock; Gatsby
Lord of the Flies; William Golding; 978-0-399-53280-8; Perigee Books; 07/27/1959; 224; Out of Stock; Flies
The Hobbit; J.R.R. Tolkien; 978-0-261-10221-4; HarperCollins Publishers Ltd; 09/27/2012; 400; In Stock; Hobbit
Fahrenheit 451; Ray Bradbury; 978-1-4516-7331-9; Simon & Schuster; 01/10/2012; 249; In Stock; Fahrenheit
Animal Farm; George Orwell; 978-0-452-28432-6; Signet Classic; 09/01/1996; 144; In Stock; Farm
Brave New World; Aldous Huxley; 978-0-06-085052-4; Harper Perennial Modern Classics; 10/17/2006; 288; Out of Stock; New World
The Diary of a Young Girl; Anne Frank; 978-0-385-72110-1; Doubleday; 06/01/1993; 283; In Stock; Diary
The Lord of the Rings; J.R.R. Tolkien; 978-0-544-11383-1; HMH Books for Young Readers; 11/01/2012; 1504; In Stock; Rings
Jane Eyre; Charlotte Brontë; 978-0-14-243720-9; Penguin Classics; 08/29/2006; 532; Out of Stock; Eyre
The Adventures of Huckleberry Finn; Mark Twain; 978-1-4104-3794-3; Turtleback Books; 12/15/1982; 320; In Stock; Adventures
The Odyssey; Homer; 978-0-14-303995-2; Penguin Classics; 11/01/2006; 541; In Stock; Odyssey
The Picture of Dorian Gray; Oscar Wilde; 978-0-06-207548-6; Harper Perennial Modern Classics; 07/03/2012; 254; Out of Stock; Picture
Wuthering Heights; Emily Brontë; 978-0-06-196364-7; Harper Perennial Modern Classics; 11/09/2010; 372; In Stock; Heights
Moby-Dick; Herman Melville; 978-0-06-183877-1; Harper Perennial Modern Classics; 05/05/2009; 720; Out of Stock; Moby
